Altium Designer Pick and Place Locations
C:\Stomp\BeagleCape\Project Outputs for BeagleCape\Pick Place for Main.txt

========================================================================================================================
File Design Information:

Date:       04/09/20
Time:       15:01
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator   Comment                   Layer       Footprint              Center-X(mil) Center-Y(mil) Rotation Description                                                
TP28         Socket                    TopLayer    5006                   4720.000      170.000       90       Socket                                                     
TP27         Socket                    TopLayer    5006                   3420.000      2720.000      90       Socket                                                     
TP26         Socket                    TopLayer    5006                   3610.000      145.000       90       Socket                                                     
TP25         Socket                    TopLayer    5006                   330.000       2400.000      90       Socket                                                     
TP24         Socket                    TopLayer    5006                   3775.000      145.000       90       Socket                                                     
TP23         Socket                    TopLayer    5006                   3625.000      2720.000      90       Socket                                                     
TP19         Socket                    TopLayer    5006                   3165.000      415.000       90       Socket                                                     
TP18         Socket                    TopLayer    5006                   280.000       965.000       90       Socket                                                     
TP17         Socket                    TopLayer    5006                   1165.000      1855.000      90       Socket                                                     
TP16         Socket                    TopLayer    5006                   2015.000      140.000       90       Socket                                                     
TP15         Socket                    TopLayer    5006                   2480.000      895.000       90       Socket                                                     
TP14         Socket                    TopLayer    5006                   2320.000      140.000       90       Socket                                                     
TP13         Socket                    TopLayer    5006                   118.000       590.000       90       Socket                                                     
TP12         Socket                    TopLayer    5006                   2167.500      140.000       90       Socket                                                     
TP11         Socket                    TopLayer    5006                   278.000       590.000       0        Socket                                                     
TP10         Socket                    TopLayer    5006                   1710.000      140.000       90       Socket                                                     
TP9          Socket                    TopLayer    5006                   125.000       2400.000      0        Socket                                                     
TP8          Socket                    TopLayer    5006                   1862.500      140.000       0        Socket                                                     
TP7          Socket                    TopLayer    5006                   120.000       965.000       0        Socket                                                     
TP6          Socket                    TopLayer    5006                   278.000       776.500       0        Socket                                                     
TP5          Socket                    TopLayer    5006                   118.000       776.500       0        Socket                                                     
TP4          Socket                    TopLayer    5006                   2930.000      140.000       0        Socket                                                     
TP3          Socket                    TopLayer    5006                   2472.500      140.000       0        Socket                                                     
TP2          Socket                    TopLayer    5006                   2625.000      140.000       0        Socket                                                     
TP1          Socket                    TopLayer    5006                   2777.500      140.000       0        Socket                                                     
J1_FET8      "Jumper Block"            TopLayer    JUMPER_BLOCK           3390.000      985.000       360      ""                                                         
FET10        043650-0220               TopLayer    43650-0220             3620.000      545.000       270      "Header, 2-Pin"                                            
FET9         043650-0220               TopLayer    43650-0220             4520.000      545.000       270      "Header, 2-Pin"                                            
FET8         043650-0220               TopLayer    43650-0220             3620.000      995.000       270      "Header, 2-Pin"                                            
FET7         043650-0220               TopLayer    43650-0220             4520.000      995.000       270      "Header, 2-Pin"                                            
FET6         043650-0220               TopLayer    43650-0220             3620.000      1445.000      270      "Header, 2-Pin"                                            
FET5         043650-0220               TopLayer    43650-0220             4520.000      1445.000      270      "Header, 2-Pin"                                            
FET4         043650-0220               TopLayer    43650-0220             3620.000      1895.000      270      "Header, 2-Pin"                                            
FET3         043650-0220               TopLayer    43650-0220             4520.000      1895.000      270      "Header, 2-Pin"                                            
FET2         043650-0220               TopLayer    43650-0220             3620.000      2345.000      270      "Header, 2-Pin"                                            
J1_FET10     "Jumper Block"            TopLayer    JUMPER_BLOCK           3390.000      535.000       360      ""                                                         
J1_FET9      "Jumper Block"            TopLayer    JUMPER_BLOCK           4290.000      535.000       360      ""                                                         
J1_FET7      "Jumper Block"            TopLayer    JUMPER_BLOCK           4290.000      985.000       360      ""                                                         
J1_FET6      "Jumper Block"            TopLayer    JUMPER_BLOCK           3390.000      1435.000      360      ""                                                         
J1_FET5      "Jumper Block"            TopLayer    JUMPER_BLOCK           4290.000      1435.000      360      ""                                                         
J1_FET4      "Jumper Block"            TopLayer    JUMPER_BLOCK           3390.000      1885.000      360      ""                                                         
J1_FET3      "Jumper Block"            TopLayer    JUMPER_BLOCK           4290.000      1885.000      360      ""                                                         
J1_FET1      "Jumper Block"            TopLayer    JUMPER_BLOCK           4290.000      2335.000      360      ""                                                         
J6           "Jumper Block"            TopLayer    JUMPER_BLOCK           3050.000      900.000       360      ""                                                         
U9           LMZM23601                 TopLayer    MODULE_LMZM23600V3SILT 3055.000      1265.000      90       ""                                                         
R38          Res1                      TopLayer    0402                   3150.000      1305.315      270      Resistor                                                   
R37          Res1                      TopLayer    0402                   3185.000      1305.000      90       Resistor                                                   
